,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
0,0,0.0507632298001887,0.0003657047226394512,2.831093884054548e-10,0.0016043736801342064,1.1558110683517085e-05,6.205510025765914e-11,5013.329073333333,S1,Day 1
1,1,0.048298645408936,0.00034807864003528615,6.858402343100552e-08,0.0009980421206465802,7.1901525081450115e-06,6.201626435289723e-11,4227.436623333333,S1,Day 1
2,2,0.04712928924073719,0.00033952591176097854,3.125265623377612e-10,0.000804282255984279,5.794308520830222e-06,7.017560131867716e-11,3929.097026666667,S1,Day 1
3,3,0.04592763182625128,0.00033086944529229866,7.262280159344188e-10,0.00067599822269986,4.870848885415814e-06,3.043785254759225e-10,2578.2385366666667,S1,Day 1
4,4,0.044904239066891886,0.0003234976756136616,1.0941562587304192e-09,0.0005988854267245027,4.315720812507887e-06,4.3053009920953586e-10,172.26082333333332,S1,Day 1
5,5,0.043446354369001065,0.00031299470159696795,1.0206040662236013e-09,0.0005415192280292493,3.902441635898351e-06,3.6663162497321564e-10,50.31253666666667,S1,Day 1
6,6,0.04202710164470143,0.00030277010245512333,8.953959488596244e-10,0.00048061898335008787,3.463919666691616e-06,3.570601421852918e-10,57.21324,S1,Day 1
7,7,0.03944818515855937,0.0002841900900491859,3.1645185136800784e-10,0.0004528782807979333,3.2627180997736014e-06,5.765906355382594e-11,4045.0556100000003,S1,Day 1
8,8,0.034895822341177614,0.0002513955242891658,8.484079182795094e-10,0.00043448213391531176,3.131301192851353e-06,3.375815656604261e-10,46.18867,S1,Day 1
9,9,0.030648088183772418,0.0002207939324197872,6.963278717446892e-10,0.00041097600724891817,2.9616005763170263e-06,2.7775490825231026e-10,47.98794,S1,Day 1
10,10,0.02763955135891579,0.00019911972728158377,6.493848120232023e-10,0.0003975949350527419,2.865090890671705e-06,2.149523202786881e-10,950.8086266666667,S1,Day 1
