,Acceleration,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Minutes,Record,Subject
0,39776.91523666667,0.05149973210885262,0.0003710102270510701,2.4801948974624326e-10,0.0018955569168577963,1.3655715482057185e-05,6.2637489917378e-11,0.0,Day 1,S1
1,24929.211958333333,0.050026727491525196,0.00036039921822783225,3.181992870646661e-10,0.0013131904434106323,9.460505884976992e-06,6.147271059794032e-11,5.0,Day 1,S1
2,24763.620381666668,0.04861250222435403,0.00035046810432864473,1.3690199318163835e-07,0.00107328788302855,7.732216888547396e-06,6.299892732260673e-11,10.0,Day 1,S1
3,48184.710251666664,0.0479847885935215,0.00034568917574192746,2.6605368037268915e-10,0.000922796358264656,6.648088127742631e-06,6.103360138318775e-11,15.0,Day 1,S1
4,31175.702501666667,0.04754261293524621,0.00034250324451927903,2.590472996307668e-10,0.0008403363362939869,6.054077979949999e-06,6.170095501028393e-11,20.0,Day 1,S1
5,28507.777521666667,0.04671596554622822,0.0003365485790026779,3.6600582504475567e-10,0.0007682281756746108,5.534539061710443e-06,7.865024762707035e-11,25.0,Day 1,S1
6,45104.269961666665,0.04624851036728685,0.0003331797176734855,3.6174435891862825e-10,0.0006981611697223996,5.0299343367435305e-06,1.3845336129444848e-10,30.0,Day 1,S1
7,789.0494183333333,0.04560675328521665,0.00032855917291111183,1.0907116729502092e-09,0.0006538352756771596,4.7117634340880945e-06,4.703036896573964e-10,35.0,Day 1,S1
8,35.45877,0.045179201639888505,0.0003254782810692739,1.1557036871829539e-09,0.0006171157306200905,4.447187707600489e-06,4.492785362552708e-10,40.0,Day 1,S1
9,2844.369021666667,0.044629276493898404,0.00032151707015804957,1.0326088302778847e-09,0.0005806551228288859,4.184253917415284e-06,4.1178166216380083e-10,45.0,Day 1,S1
10,837.85519,0.04382690587740649,0.0003157361229780913,1.05018266500719e-09,0.0005558236687962341,4.0057143128932435e-06,3.94687992614448e-10,50.0,Day 1,S1
11,75.32154166666666,0.04306580286060057,0.00031025328021584464,9.910254674400126e-10,0.0005272147872623619,3.7991689589034583e-06,3.3857525733198313e-10,55.0,Day 1,S1
12,943.925975,0.04250400012022041,0.0003062049053540361,6.66870264884744e-10,0.0004913220282315121,3.5404260385912254e-06,2.5692733724688096e-10,60.0,Day 1,S1
13,87.22403666666666,0.041550203169182495,0.00029933529955621053,1.1239216328345046e-09,0.0004699159384687005,3.387413294792004e-06,4.5719294712370287e-10,65.0,Day 1,S1
14,28551.08529833333,0.04032014700818569,0.0002904719422915961,3.496313145815404e-10,0.00046456042644303847,3.346854636054831e-06,6.227198020032673e-11,70.0,Day 1,S1
15,27069.54495666667,0.03857622330893392,0.0002779082378067757,2.8327238815447567e-10,0.00044119613515277345,3.1785815634923714e-06,5.304614690732515e-11,75.0,Day 1,S1
16,715.7865466666667,0.03606075518384702,0.0002597879640703359,7.37031626164149e-10,0.0004432192580595566,3.193954413840189e-06,2.8684721481927375e-10,80.0,Day 1,S1
17,48.525376666666666,0.03373088949850847,0.00024300308450799573,9.5978421039487e-10,0.0004257450097709977,3.0686479718625165e-06,3.8831591650157844e-10,85.0,Day 1,S1
18,343.1986366666667,0.03159246431950619,0.00022759688399932453,6.322964351359062e-10,0.0004139698383882266,2.982933401339207e-06,2.500922275794197e-10,90.0,Day 1,S1
19,493.6548266666667,0.029703712048039004,0.0002139909808402498,7.60359308353472e-10,0.00040798217610968357,2.940267751294845e-06,3.054175889252008e-10,95.0,Day 1,S1
20,567.422985,0.028181917718840196,0.00020302770914825267,1.0215494565603898e-09,0.00040032292032568745,2.885404426396164e-06,3.663777531214361e-10,100.0,Day 1,S1
21,13641.996005,0.027097184998990595,0.0001952117454149149,2.77220167486015e-10,0.000394866949779772,2.8447773549472455e-06,6.352688743594009e-11,105.0,Day 1,S1
22,170.23569,0.02611531055154217,0.0001881394542490118,6.542658524470884e-10,0.000382068465297202,2.7535199526775064e-06,3.01286202859005e-10,110.0,Day 1,S1
23,128.39487166666666,0.025029847765943497,0.00018031977668909278,8.718584187763339e-10,0.0003828460424268614,2.7593000073526115e-06,3.5035579528032174e-10,115.0,Day 1,S1
24,82.99812333333334,0.024062234031966702,0.00017334844001208483,8.797617790024274e-10,0.0003821286277450967,2.754222000773814e-06,3.420304400756199e-10,120.0,Day 1,S1
25,280.51026666666667,0.023271312452782154,0.00016765019879759046,5.177013606427402e-10,0.00037071544783687384,2.6709607529285534e-06,1.6811757135589954e-10,125.0,Day 1,S1
26,444.07369666666665,0.022546472715554593,0.00016242856560844945,6.256249317355191e-10,0.00036640241533712834,2.6405773881405714e-06,2.9901554962126424e-10,130.0,Day 1,S1
27,2335.3180133333335,0.021997200344856922,0.00015847169829831827,9.183516039697545e-10,0.000365663315304515,2.635818128446622e-06,4.363170632584163e-10,135.0,Day 1,S1
28,59.79104666666667,0.021577641015662983,0.00015544987133852024,8.145958905320307e-10,0.0003641476832891434,2.6243853602789e-06,3.3229973984018954e-10,140.0,Day 1,S1
29,170.456465,0.021107574091788022,0.00015206218665432398,5.565887113708583e-10,0.00037780156672579795,2.722452523598553e-06,2.1133848557280131e-10,145.0,Day 1,S1
30,3270.780621666667,0.020814587305568434,0.00014995195806342718,5.982063538026618e-10,0.0003823960499929825,2.7557923798258096e-06,2.691681918825969e-10,150.0,Day 1,S1
31,669.53758,0.02076074857597646,0.00014956432205121377,5.536326180303022e-10,0.00036610558274925383,2.6382411811898876e-06,2.8056343698443866e-10,155.0,Day 1,S1
32,95.89642166666667,0.020030197852599727,0.00014430198130759722,1.0400509623969832e-09,0.00036509829098816277,2.631958827901415e-06,5.365171329026439e-10,160.0,Day 1,S1
33,330.67235,0.01961404861434982,0.00014130327765051476,8.64550913479349e-10,0.0003642898014881185,2.6257391393525287e-06,3.494591532520174e-10,165.0,Day 1,S1
34,1949.3033333333333,0.019393407194410177,0.00013971520161955514,1.008556762646847e-09,0.0003700695218387652,2.6682698290206554e-06,5.271504710747498e-10,170.0,Day 1,S1
35,4562.105231666666,0.0190955852776747,0.00013756773518469305,6.678055747183041e-10,0.00037238345761513557,2.683704555001604e-06,3.004707434900249e-10,175.0,Day 1,S1
36,18014.381865,0.01891666019529708,0.00013627828527905468,2.0447146635190277e-10,0.0003697685926922658,2.6640080854814284e-06,6.341488118642097e-11,180.0,Day 1,S1
37,25895.061955,0.01865310238354173,0.00013437985819207506,2.0596267423176963e-10,0.00036391094691242066,2.621872878712183e-06,7.625933298418263e-11,185.0,Day 1,S1
38,16574.718518018017,0.018357077827797802,0.00013224733760707378,2.2246224332655646e-10,0.0003793478083069915,2.7330034006604354e-06,7.325190195607308e-11,190.0,Day 1,S1
39,,,,,,,,195.0,Day 1,S1
40,,,,,,,,200.0,Day 1,S1
41,,,,,,,,205.0,Day 1,S1
42,,,,,,,,210.0,Day 1,S1
43,,,,,,,,215.0,Day 1,S1
44,,,,,,,,220.0,Day 1,S1
