,Organism,Protein Length
0,Organism1,51
1,Organism1,315
2,Organism1,152
3,Organism1,140
4,Organism1,309
5,Organism1,91
6,Organism1,37
7,Organism1,108
8,Organism1,109
9,Organism1,106
10,Organism1,52
11,Organism1,181
12,Organism1,404
13,Organism1,37
14,Organism1,138
15,Organism1,435
16,Organism1,418
17,Organism1,316
18,Organism1,200
19,Organism1,578
20,Organism1,208
21,Organism1,136
22,Organism1,564
23,Organism1,234
24,Organism1,172
25,Organism1,461
26,Organism1,189
27,Organism1,104
28,Organism1,89
29,Organism1,282
30,Organism1,288
31,Organism1,62
32,Organism1,296
33,Organism1,99
34,Organism1,425
35,Organism1,201
36,Organism1,71
37,Organism1,387
38,Organism1,397
39,Organism1,155
40,Organism1,226
41,Organism1,225
42,Organism1,154
43,Organism1,413
44,Organism1,271
45,Organism1,260
46,Organism1,503
47,Organism1,126
48,Organism1,56
49,Organism1,277
50,Organism1,149
51,Organism1,137
52,Organism1,401
53,Organism1,319
54,Organism1,51
55,Organism1,282
56,Organism1,320
57,Organism1,238
58,Organism1,193
59,Organism1,102
60,Organism1,106
61,Organism1,273
62,Organism1,175
63,Organism1,81
64,Organism1,46
65,Organism1,233
66,Organism1,472
67,Organism1,123
68,Organism1,180
69,Organism1,41
70,Organism1,80
71,Organism1,558
72,Organism1,154
73,Organism1,53
74,Organism1,175
75,Organism1,50
76,Organism1,308
77,Organism1,146
78,Organism1,76
79,Organism1,361
80,Organism1,367
81,Organism1,139
82,Organism1,1144
83,Organism1,267
84,Organism1,244
85,Organism1,58
86,Organism1,174
87,Organism1,48
88,Organism1,199
89,Organism1,240
90,Organism1,145
91,Organism1,139
92,Organism1,287
93,Organism1,409
94,Organism1,656
95,Organism1,164
96,Organism1,76
97,Organism1,400
98,Organism1,328
99,Organism1,127
100,Organism1,255
101,Organism1,106
102,Organism1,365
103,Organism1,184
104,Organism1,160
105,Organism1,60
106,Organism1,85
107,Organism1,889
108,Organism1,93
109,Organism1,205
110,Organism1,156
111,Organism1,430
112,Organism1,686
113,Organism1,1073
114,Organism1,102
115,Organism1,340
