Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
27198,HCAR1,hydroxycarboxylic acid receptor 1,Homo sapiens,human,NM_032554.4,NP_115943.1,11606942,curated,RefseqSelect,default-seq
243270,Hcar1,hydrocarboxylic acid receptor 1,Mus musculus,house mouse,NM_175520.4,NP_780729.2,11606942,curated,,default-seq
452331,HCAR1,hydroxycarboxylic acid receptor 1,Pan troglodytes,chimpanzee,NM_001246635.1,NP_001233564.1,11606942,curated,,default-seq
486252,HCAR1,hydroxycarboxylic acid receptor 1,Canis lupus familiaris,dog,NM_001145231.1,NP_001138703.1,11606942,curated,,default-seq
538759,HCAR1,hydroxycarboxylic acid receptor 1,Bos taurus,cattle,NM_001145234.1,NP_001138706.1,11606942,curated,,default-seq
689936,Gpr81,G protein-coupled receptor 81,Rattus norvegicus,Norway rat,NM_001145334.1,NP_001138806.1,11606942,curated,,default-seq
702825,HCAR1,hydroxycarboxylic acid receptor 1,Macaca mulatta,Rhesus monkey,NM_001145254.2,NP_001138726.2,11606942,curated,,default-seq
100022345,HCAR1,hydroxycarboxylic acid receptor 1,Monodelphis domestica,gray short-tailed opossum,XM_001374185.3,XP_001374222.1,,model,,default-seq
100060403,HCAR1,hydroxycarboxylic acid receptor 1,Equus caballus,horse,XM_014727600.2,XP_014583086.1,11606942,model,,default-seq
100153287,HCAR1,hydroxycarboxylic acid receptor 1,Sus scrofa,pig,NM_001145381.1,NP_001138853.1,11606942,curated,,default-seq
100345808,HCAR1,hydroxycarboxylic acid receptor 1,Oryctolagus cuniculus,rabbit,XM_008250523.2,XP_008248745.1,,model,,default-seq
100408428,HCAR1,hydroxycarboxylic acid receptor 1,Callithrix jacchus,white-tufted-ear marmoset,XM_002753127.3,XP_002753173.1,11606942,model,,default-seq
100442224,HCAR1,hydroxycarboxylic acid receptor 1,Pongo abelii,Sumatran orangutan,XM_024257064.1,XP_024112832.1,11606942,model,,default-seq
100469652,HCAR1,hydroxycarboxylic acid receptor 1,Ailuropoda melanoleuca,giant panda,XM_019801164.1,XP_019656723.1,11606942,model,,default-seq
100579911,HCAR1,hydroxycarboxylic acid receptor 1,Nomascus leucogenys,northern white-cheeked gibbon,XM_003280706.3,XP_003280754.1,11606942,model,,default-seq
